mi,mine,theirs,mine_hold1
23114,-1.3073138522088357,,-1.3073138522088357
23115,-3.44503136799165,,-3.6870157480314942
23116,-1.0633087998730812,,-0.9515603921568632
23117,-1.3593083579064278,,-1.3909482353477627
23118,-0.5782270913854549,,-0.48417536120411375
23119,-2.2045783221431927,-2.23495165860292,-2.163416445279306
23120,1.4223385872103522,1.09971648602123,1.598865067527892
23121,-0.574513633998703,-0.614881232574527,-0.49309932516761973
23122,-0.6689873986299893,-0.710532283464566,-0.679022900763359
23123,-1.9177788625453287,-2.04177505635325,-1.9089553187535733
23124,-0.5835009619268989,-0.395937029575064,-0.3809804625199361
23125,0.9112590075112759,0.696086979214924,1.0173374842767295
23126,0.5059524099458484,0.0986149286123998,0.33772370370370386
23127,-1.9484097764711428,-1.81960248901211,-2.180925000348078
23128,1.350859982785505,1.6799724099206,0.5849531365313654
23129,0.39535135495507007,0.297432736895169,-0.11200590405904126
23130,0.5179474354962406,0.142358233712841,0.9065309117451893
23131,-0.7270280507204775,-0.915257113171355,-0.9457374335314357
23132,-1.9264570656962576,-2.27731566892809,-2.074443429772311
23133,-3.5218032818742695,-3.7613557299885,-3.5048210714285712
23134,-1.1319452395437297,-0.804776805722687,-1.1688185873154628
23135,4.309491529483931,4.06742591112534,3.8949352562072064
23136,-0.03561035185591429,-0.093144020202018,0.04903693623449744
23137,5.470595404782158,5.34131997306397,4.703668275862069
23138,-0.2703596889438401,-0.156654407814408,0.1245152815044958
23139,-1.2076043460399066,-0.489671440245147,-1.5447051698861154
23140,6.880869113458337,7.25505171277997,6.523138492728808
23141,5.548452445944418,5.04453624002605,5.037728909817352
23142,-3.3808758599576683,-3.50680811622834,-2.983782191780822
23143,-1.81476615563795,-1.74587487068965,-1.9112620380110807
23144,-3.285363067869417,-3.19759819116886,-3.378397081747954
23145,1.4453822415134587,1.1177594760627,1.1355716790770367
23146,1.4935946011657324,1.34014810996564,1.1261361204013378
23147,0.3544263054648257,-0.172057060131523,-0.2869053539905492
23148,-3.0582766366285523,-2.97278429235125,-3.12382221958585
23149,-1.3107861316251315,-1.53617686044379,-1.201621110180142
23150,0.3307368361513959,0.392069371458332,0.605493278566094
23151,-2.3204842451016696,-2.02670873821701,-2.2844012779552716
23152,-0.38292170274517134,-0.0514042956349223,-0.21147101910828012
23153,-5.787378854564962,-6.4423456693108,-5.430303105590063
23154,-3.46996108422964,-2.37223010126074,-3.2931022740410607
23155,-3.2963034216672535,-2.73460785129764,-2.808193480197247
23156,-5.78272277357086,-5.84704277247595,-5.886146635167358
23157,-1.6525226389750913,-1.45099382716049,-1.4139257633880624
23158,-2.001273655352533,-1.54548611863056,-2.216109991030493
23159,-0.06437892800584648,-0.094634753363426,-0.2954436246418349
23160,-6.029043329066836,-6.54404691908307,-6.504466212034385
23161,7.073556779230518,6.98096523273746,8.783927474155474
23162,1.6958016282143422,1.05241459531181,2.25609256993007
23163,5.263239960721227,5.26821958578516,5.7481192307385385
23164,-1.4945067714984417,-1.02575916903934,-2.0794055865921792
23165,-2.9082387532888467,-2.81878958733393,-3.038241993541575
23166,-3.8939748121072473,-3.25019453055755,-4.286237405931143
23167,-1.2150780445427076,-0.843674599597584,-0.9807119777158778
23168,-0.9547451632550471,-2.32757732840616,-1.1426909430438843
23169,-3.2545045641481094,-3.09133100809188,-3.584917039106145
23170,0.4212002053275452,0.53236324191568,-0.028409568408369057
