mi,mine,theirs,mine_hold1,mine_noskip
23127,7.746143291359098,7.24115412414966,7.746143291359098,7.29562525225525
23128,2.9649205601389497,1.3391121040724,2.622340816326531,2.5456915924775707
23129,7.389345805760603,8.81128257918552,9.977224,7.615459944444446
23130,0.9478182312925169,3.80587028657617,2.4049239999999994,0.2311571503267973
23131,3.2737527691076433,2.5686568627451,3.28066830732293,2.5146861155128724
23132,0.5475177665732959,-2.22431346153846,2.114903921568627,0.42802866853408
23133,4.739035058556756,5.69495433634992,5.584754470588235,4.71389954248366
23134,2.896541032679739,2.93268623340321,2.2282627450980383,1.687020766214178
23135,-7.977693109100052,-8.74722075471698,-10.501092307692309,-11.32759352689794
23136,-0.6628061150921902,-2.26934912917271,1.2943676923076928,-0.7848896666666658
23137,1.0213246923076922,5.17647169811321,7.976317307692307,0.4916854615384614
23138,-5.384033077425842,-4.34488238993711,-5.4583653092006035,-4.188152885360046
23139,4.41552632307882,7.05486346153846,3.1773132075471695,4.473010418386028
23140,-10.219552476830113,0.445424006734005,-6.259560377358489,-5.504526898887276
23141,-9.35011823899371,-8.46705612794613,-7.268398113207547,-7.759658490566037
23142,3.3296893081761003,2.04160744234801,2.345258490566038,3.08074178895877
23143,4.651641136734219,2.94994412337662,3.3089592592592596,3.950431481481482
23144,4.380159853249476,4.72119642857143,5.2599861635220115,4.1276768801219745
23145,2.4051725199584957,4.57544464285714,3.5397467003367002,2.8227697251339388
23146,6.183781712936493,8.36396035714286,6.218021818181818,6.535078787878788
23147,4.208158058361392,4.72028114832536,5.435221818181818,5.824503560606061
23148,3.683069935064935,3.99235068226121,4.793086168831169,3.854720335497835
23149,1.671983174202341,0.963701754385965,2.02162314935065,1.4665221861471867
23150,5.560739297338464,2.22276964285714,6.8261745454545455,5.73047752153954
23151,6.003523801507135,4.49238136363636,6.026135714285714,4.800816096575614
23152,5.2381555976430985,7.07626140350877,6.1256726948051945,5.347019622161464
23153,-0.801322673160173,-2.10773646616542,1.302423214285714,0.7072874675324679
23154,6.400341850649351,9.89816052631579,7.476935714285715,7.397558480861244
23155,0.9616298454469504,1.05087540886113,2.8497859649122805,1.9449476921470341
23156,6.856214630325814,8.30599167153711,10.819033333333334,8.342847368421053
23157,4.376671929824561,3.47475485096435,2.840263157894737,3.330188465416415
23158,-5.898949455535392,-4.37990236703682,-7.007143103448274,-5.53472125428514
23159,-4.978009336841318,-2.38495278281911,-4.243117241379311,-5.152648972756993
23160,15.030321897304653,15.8297620689655,13.80619140955838,15.047999312223428
23161,-19.38188819066344,-21.7744399936656,-18.753744827586203,-21.02293523746904
23162,2.9165160513791792,2.19441469945355,2.0178800701344244,1.718024720077517
23163,-19.691477764225972,-16.9427959139785,-20.493071666666662,-19.204172960459427
23164,3.3823133336580296,2.10019672619048,2.6977716666666662,3.748372281189219
23165,5.634837996947853,6.17896003584229,4.64243,5.701950140625484
23166,7.661736935180125,10.5487967741936,7.193691935483873,6.246142127788289
23167,0.45969429952510504,0.451216581196579,0.38408268817204244,-1.6642960726727916
23168,7.424568656883079,7.59561673881674,7.6634634920634905,6.053027936890038
23169,10.7088549036205,10.3552647073413,11.8606703125,12.653426995734417
23170,4.533484311406187,3.99767726423903,4.783715384615385,4.454919823879823
23171,-0.05346970058876284,0.0613176944971547,0.07555951048951078,-0.8920476446547853
23172,17.23318829059829,15.4134522058824,17.065242797202796,17.65211306935964
23173,-25.356126202669632,-16.1577481092437,-26.366464179104476,-25.906284381124678
23174,-12.528773889874637,-8.45009789915967,-10.416723337856174,-14.049356739475527
23175,10.086417565900103,10.6222225296443,10.482586567164178,9.339738490684518
23176,10.943449257114947,13.9887522875817,11.437025417032485,11.848105018760489
23177,7.547001725637548,10.3627380488815,7.663230553116769,8.744035804277072
23178,-14.343700208781327,-15.7403800085252,-18.7490768115942,-20.67525280619494
23179,9.571516910795939,8.87590281449893,10.478630669224211,8.506206203327533
23180,1.502667469451549,2.42541287411972,-0.6608057971014492,0.9240886717672144
23181,11.325359664835,10.740221875,11.023064803312627,9.01928923375147
23182,3.108714430641823,7.17457337301587,2.5180557142857163,-1.3253742167011728
23183,7.642079146673162,5.78782638888889,9.233006935817805,6.713989730848861
23184,19.852746984126988,17.746401984127,20.214160910973085,18.743949930986883
23185,-23.35214960322005,-25.4161299836601,-25.579769565217397,-30.464171279602752
23186,4.913418677817223,7.15564842454395,7.592436231884057,5.086379868672107
23187,14.596694231315716,13.3747805555556,14.835776470588236,15.079387078248994
23188,11.853678559076279,14.2325172123255,15.562266889483068,13.611755525403288
23189,1.0886080879163753,1.93122152073734,1.7328284313725517,2.171752101050468
23190,-0.0241584784735311,-3.44774262295082,-0.030284525899912026,-4.460286319779777
23191,-53.19440070300768,-58.524972381162,-53.75968970588235,-60.81148091437388
23192,-83.34482270906497,-88.698914978355,-85.09873676470588,-92.25532523426207
23193,8.858759142899585,5.82582275189599,8.766091399286987,2.0043559783524456
23194,14.433551495641225,-4.51647127985303,4.392415649692713,6.815435253323401
23195,6.869325748485735,3.79755285714286,4.395836764705881,3.963830750658471
23196,6.423389193737197,15.1175455675228,-0.9897823529411764,-0.7538615305823819
23197,-1.1196150029708851,-5.41932831932773,-3.4481156417112304,-5.5808581560796044
23198,8.755909610814022,7.89936764705882,10.764130882352942,8.033276800162085
23199,10.572929115395873,12.8030846795435,5.414593020193152,5.255620969143254
23200,-10.62253661993065,-8.79200747412006,-10.438090456806881,-14.727086016933018
23201,-50.85908250614132,-50.2188780252101,-40.68146323529413,-45.07517292454157
23202,-3.178220845771144,1.86239743271222,-7.876575746268655,-4.920717795603089
23203,3.161254474252214,-2.54612305665349,1.1246394796380095,0.05560685253267958
23204,10.640709965904742,11.2117113051471,9.214964420544336,7.460129044117647
23205,-3.9936093530509233,-3.67111035530621,-2.7567179543459193,-1.7557649180567765
23206,-2.733900885279486,-1.8159350170503,0.37936176470588084,-1.6520144790752134
23207,2.8720468062982767,0.878482608695653,4.782041176470588,3.43920742610477
23208,5.009738601112087,3.42342173913043,4.491789332748025,4.90523126280363
23209,-25.579595119988298,-15.1348985507246,-23.425937313432836,-23.138072110038046
23210,-0.3272455073119253,-0.591243222506393,2.379277611940298,1.0403398320341253
23211,5.340242627770239,4.20884222080136,4.323768656716418,3.9783993741187107
23212,-2.6673388059701497,-6.4818160059676,-5.50419104477612,-5.132029850746269
23213,-5.295840298507462,-7.55426099935107,-6.730983582089553,-5.479440086333042
23214,-3.408308282118818,-1.55811630975557,-5.7544084284460055,-2.236718795727246
23215,-5.353711815920397,5.77591739130435,3.6670278533801612,0.3926702224173258
23216,4.08586251097454,4.44100912190963,5.8568630816505705,-0.11630276092798042
23217,3.201343056774949,0.555562510656438,2.4556,0.9362706101843721
23218,6.3110626499853675,7.05728518755328,6.28078088235294,7.231962364647352
23219,2.2424323456248176,6.06551803069053,-0.4997661984196655,0.8424483391864209
23220,5.375183882060288,3.71738148388492,5.175123551360843,5.278529708631529
23221,0.28867539508340634,0.717720289855072,-1.0061235294117652,-0.6939522033327127
23222,16.032337790548148,15.3831297425914,18.323171883230902,17.45866369622476
23223,2.4612848370583666,3.89597429208472,3.3365444741532984,2.57022567987568
23224,-2.0307840733123084,-1.48702898550724,-2.4886705882352937,-4.8304341697518165
23225,-2.630596759978389,-1.27907621483376,-2.959141856892011,-3.597119109767903
23226,8.490379623939127,7.13137352941177,9.757912335381913,8.518170200468246
23227,-8.472802450980392,-4.26721440622972,-4.062057352941176,-6.109489786362305
23228,-20.714524568648596,-18.0340668788411,-20.687766613088403,-20.721145463794
23229,14.69142999617298,12.3581785650624,17.745316417910445,16.01613279137505
23230,2.936944570156212,2.74332717295874,5.874888059701493,2.6125168322538306
23231,-37.68465306799336,-33.9368132352941,-36.63925373134328,-38.04021159110862
23232,12.05554129353234,11.00735,14.446994029850746,11.17653891571554
