signal,in_sample,post_sample,post_pub
AOP,0.35601826581640983,0.3546493050910091,0.0036804387088701564
AbnormalAccruals,0.5331654459476943,0.07704985019956621,-0.1514351610676957
Accruals,0.5564751299693197,0.7336443720567546,0.0973708761948828
AccrualsBM,1.3602827917409805,2.0905585219320577,1.0071862545654262
Activism1,0.2402973011435394,0.027482298321810063,-0.2181558215175629
Activism2,0.4383249726952884,1.0316545708858098,0.7766220395118186
AdExp,0.48801014798397474,-0.022684317149250382,0.3883805256325242
AgeIPO,1.6107858657134897,0.34310844755856784,0.6917207155724511
AnalystRevision,0.9612854729837959,1.1774629867300783,0.5563362169720499
AnalystValue,0.21135496199705517,0.3653575480982573,0.30776984806177754
AnnouncementReturn,1.125520635336179,1.3435689123795953,0.8109836014095135
AssetGrowth,1.1052873838237873,-0.42731517055837487,0.6108540150264933
BM,0.7997339528663789,0.8546581848757575,0.5680386177056359
BPEBM,0.22171827156468352,-0.11668312751756577,-0.033125337619529543
Beta,0.7014706238172399,-1.5769740076024632,0.19137614529512598
BetaLiquidityPS,0.15992884000169888,1.086532132523424,0.04610993476701151
BetaTailRisk,0.4116884030603602,0.03149379394623978,0.1592563427497003
BidAskSpread,0.974047516833996,-0.6528407612718385,-0.030834163026116298
BrandInvest,0.4267033406431454,-0.2673909447245959,-0.43777262608691525
CF,0.542597507721316,-0.6102165116021072,0.37088507240432544
CPVolSpread,0.9769581411100443,0.5802302627241447,0.4453906911785583
Cash,0.7249952209269477,-0.4158474277589455,-0.12193852725375394
CashProd,0.43083450257569095,-0.3656279030375195,0.24315774103544388
ChAssetTurnover,0.2305493963435272,0.17518950885332832,0.025911765517216863
ChEQ,0.506655093153914,0.6843168608876522,0.42526931558506254
ChForecastAccrual,0.3908688070145567,0.09889839927277519,0.10933609263465714
ChInv,0.696677052708641,1.2405246099275737,0.26535338749048065
ChInvIA,0.3629897376589036,0.39076026731162955,0.20540892872572278
ChNAnalyst,0.7785005372962202,0.3806796842529574,0.1518101118956326
ChNNCOA,0.2887184822788453,0.21677767606349194,-0.07195138416445335
ChNWC,0.2135362002688373,-0.03249837464404686,0.009567230934151811
ChTax,1.1601174450089602,0.32206809542991033,0.43209205365154596
ChangeInRecommendation,1.0485869264973169,1.1725769520972527,0.2626619270136755
CitationsRD,0.16190507912935853,0.3470859185321311,-0.005813335718444404
CompEquIss,0.26730007500712183,0.6318128600735794,0.3350364944269692
CompositeDebtIssuance,0.26543329829167495,0.44709983129552827,0.21930316232740865
ConsRecomm,0.5164989966932828,2.887484374831719,0.08928501846750653
ConvDebt,0.22735250161524861,0.339137861884427,0.3802061690211989
CoskewACX,0.28387148296480436,0.8026825759594424,0.3018007266489036
Coskewness,0.042302329995991005,0.039563548293549404,0.22841514569153296
CredRatDG,0.5935279642860986,1.3550306015819646,0.2794047767719442
CustomerMomentum,1.032743820762053,-0.19927773313726574,0.3811894101281433
DebtIssuance,0.17443069729108845,0.5535266010823153,0.14492318012579813
DelBreadth,0.6832617355122175,1.8909316811792714,0.325698391960002
DelCOA,0.4752435485895805,1.1543113527532407,0.09843802044076999
DelCOL,0.25002251340685877,1.0854738034055442,0.04807433250816797
DelDRC,1.6912112408913604,-0.04992663742937504,0.14565555712162762
DelEqu,0.5031480716884504,2.0378453800713725,0.23692482427467196
DelFINL,0.597625228154949,0.5878896829509394,0.20794106983964686
DelLTI,0.169135519396132,0.6550778552370526,0.11395558642444138
DelNetFin,0.4485387060377577,-0.4010240158452041,0.0444223165979486
DivInit,0.4239029246089076,0.39759350854389475,0.26957553382462063
DivOmit,0.6301947167957777,0.1811042504978349,0.8780171952437699
DolVol,0.8475493966294162,0.7433904826222921,0.33658082676971224
DownRecomm,0.599286711819787,0.9955768469809616,0.21227494986203113
EBM,0.2925073073119309,0.03459616399914635,0.1571480409330778
EP,0.4095882527500875,0.6421384735355626,0.22264758493293998
EarnSupBig,0.42701041845758464,0.1955948379346517,0.4705064705379894
EarningsConsistency,0.28207611652397213,0.16324891968631447,0.392765165246276
EarningsForecastDisparity,0.6467416586644956,0.11000202083563808,0.13900228530573228
EarningsStreak,1.1198403094748992,0.3776668948781912,0.6647275329380172
EarningsSurprise,1.2052781629622882,1.2075505453509103,0.387548703851531
EquityDuration,0.598883767672466,1.6448701367038139,0.055862765637834995
ExchSwitch,0.44659444574011015,0.8860426812841897,0.7708923863540826
ExclExp,0.030345410703949763,0.8209873540862185,0.04129914320976324
FEPS,1.0766467936425685,0.23191238337600037,0.6461873334045621
FR,0.29796253736246475,-0.4953499104743615,-0.4791304140430184
FirmAge,-0.04089826860200135,-0.2721376283132553,-0.14956328837307215
FirmAgeMom,1.1865454348150661,0.7913349353668826,0.773938612950004
Frontier,1.4770245497663113,0.6109852468453006,0.9060334240753752
GP,0.34072125803301107,0.2989206283895968,0.9985048622685881
Governance,0.5179682959720546,-1.6679049215451474,-0.4507179512548765
GrAdExp,0.251636138843959,0.14138077265426616,0.18770320088616416
GrLTNOA,0.27249375562572714,0.23529020072192044,-0.04082440418144191
GrSaleToGrInv,0.3245181707136315,0.38238896338211065,0.001822285614633687
GrSaleToGrOverhead,0.06542596562129653,0.11907536368298316,-0.12998571672221582
Herf,0.11165370974060593,0.2002045456190944,-0.3130235484294107
HerfAsset,0.10483465011471883,0.11225423689133883,-0.37430245564617687
HerfBE,0.1422334983229646,0.18794277524007183,-0.3393157816818626
High52,0.008022838473873214,-0.4119151973759278,0.19161830638268992
IO_ShortInterest,2.290748906726147,-0.5429186904761836,5.8151891927910055
IdioVol3F,0.5971983047141348,0.19300719741696065,0.26543672537433194
IdioVolAHT,0.23209580847234032,1.101741011167044,-0.006161646325306399
Illiquidity,0.3602170290961758,-0.3844951194981985,0.09982616371135142
